Job Title,Required Skills,Role Category,Industry,Role
 Sr. Software Engineer Android/Hybrid," SQL, Android, jQuery, UML, Coding, Graphics, JSON, Test cases, System testing, SQLite",Programming & Design,"IT-Software, Software Services",Software Developer
 Principal Engineer-Piping," HVAC, Architecture, Project management, CAD, thermal, Conceptualization, Instrumentation, Autodesk, Food processing, Project delivery",Engineering Design,"Construction, Engineering, Cement, Metals",Technical Lead/Project Lead
 Business Analyst - Structured Finance," electronic trading, structured finance, dcf, equity research, bloomberg, investment banking, business analysis, bonds, valuation, advanced excel, hedge fund, financial modelling, structured products, fixed income",System Design/Implementation/ERP/CRM,"Banking, Financial Services, Broking",Business Analyst
Solution Architecting,"Product management,Analytical skills,software architecture,Prototype,Business analysis,Manager Technology,Outsourcing,Resource management,Operations,Solution architecting",Programming & Design,IT-Software / Software Services,Technical Architect
 Sales / Business Development," Sales Head, Hospitality, Office automation, Residential sales, Sales strategy, Bfsi, management, Real estate sales, Flex, Executive search",Senior Management,"Recruitment, Staffing",Head/VP/GM/National Manager -Sales
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)"," biotechnology, microbiology, nursing, biomedical, medical coding, medical coder, pharmacy, life sciences",Medical Professional,"Medical, Healthcare, Hospitals",Intern
 Consultant," Com, Application support, Email, SAP IS-Utilities, level, Billing, change, Service, CRM, Entry level",System Design/Implementation/ERP/CRM,"BPO, Call Centre, ITeS",Outside Technical Consultant
 Network & Security Architect- Pune, Network,,"IT-Software, Software Services",Other
 Business Development Manager," ERP, RF, Action plan, Relationship, Software sales, Business planning, B2B Sales, RFQ, RFP, CRM",Corporate Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Assistant Vice President - Stock Broking - Delhi," Equity, Currency, Mutual Funds, Commodities, Stock Broking, New Client Acquisition, Business Generation, Channel Distribution, Team Management, team handling, sales",Senior Management,"Banking, Financial Services, Broking",Head/VP/GM/National Manager -Sales
,"Java,Trainer,Java,trainer,Trainer,java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,Java,Trainer,JAVA,TRAINER,JAVA,TRAINER,Java,Trainer,Java,Trainer,Java,Trainer,trainer,Trainer,Trainer,Java,Trainer,Java,Trainer,Trainer,Java,Java,Trainer,Java,Trainer,Java,Trainer,JAVA,TRAINER,Java,Trainer,Java,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Java,Java,Java,trainer,Java,Java,Java,Trainer,JAVA,Java,Java,Trainer,Java",,,
 Production Manager in Press Shop & Projection Welding," Production Management, Weld Shop, Press Shop, pressing, sheetmetal",Production/Manufacturing/Maintenance,"Automobile, Auto Anciliary, Auto Components",Production Manager
 salesfoce Developer +3Years / Mumbai," Salesforce Developer, sfdc developer, Salesforce",Programming & Design,"IT-Software, Software Services",Software Developer
 Social Media Executive," website, facebook, online, Twitter, seo, internet, search engine optimisation",Online/Digital Marketing,"Media, Entertainment, Internet",Social Media Marketing Manager
 Business Advisor,vide,Institutional Sales,"Strategy, Management Consulting Firms",Sales Executive/Officer
" IT Recruiter, Technical Recruiter"," head hunting, talent acquisition, Recruitment Executive, it recruitment, screening, technical recruitment, hiring, recruitment consultant, recruitment, sourcing, excel powerpoint, staffing",HR/ Recruitment / IR,"IT-Software, Software Services",Recruitment Executive
 SAP PLM Consultant - SAP MM Module," SAP PLM, SAP MM, SAP EHS",Other,"IT-Software, Software Services",Outside Consultant
 Python Manager - IIT/ IIM/ DSE/ ISI," Microstrategy, Business Intelligence, Cognos, Business Objects, Tableau, AWS, Python, SQL",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",IT/Networking-Manager
 Marketing Manager - Activation - Iit/nit," Marketing, Event Management, Brand Management",Marketing,"IT-Software, Software Services",Marketing Manager
 Hiring .Net Developers for Hyderabad Location," asp.net, ado.net, MVC",Programming & Design,"IT-Software, Software Services",Software Developer
 Senior BI Cognos Developer," SQL, Oracle, Cognos, Business intelligence, Automotive, Supply chain, DBMSTools, metadata",Programming & Design,"Recruitment, Staffing",Software Developer
 Technical Support Engineer," Technical support, SAN, Veritas, Data management, NetBackup, Windows OS, WebEx, Unix operating system, TCP/IP, IT infrastructure",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",Technical Support Engineer
 Senior Drupal Developer," Drupal, Linux, MySQL, Python, Consulting, Procurement, Monitoring, Front end, Backend, Django",Programming & Design,"IT-Software, Software Services",Software Developer
 Pre Sales Executive," Presales, Real Estate Sales, Residential Sales, Sales Executive Activities",Pre Sales,"Real Estate, Property",Pre Sales Consultant
 Head - Sales &amp; Strategy (telematics)," b2b sales, team management, kam, commercial vehicle, sales strategy, enterprises sales",Senior Management,"Internet, Ecommerce",Head/VP/GM/National Manager -Sales
 Content Writer Required for a Monthly Magazine," Editing, proof reading, content writer, editor, Articles, Article Writing, Content Editor, Journalism, Mass Communication, Copywriter, Associate Editor, Sub Editor, English Writing, Research, Social Media",Content Development,"Media, Entertainment, Internet",Content Developer
 Sales Engineers," set, eee, interpersonal skills, selling, sales marketing, travel, marketing management, hardware",Retail Sales,"IT-Software, Software Services",Sales Executive/Officer
 Senior Laravel Developer," MySQL, Wordpress, Javascript, Flex, CMS, PHP, HTML, JSON, Joomla, Ajax",Programming & Design,"IT-Software, Software Services",Software Developer
" Medical Scribe Chandigarh Mohali Noida No Fees, Salary-26k To 48k"," MBBS, B.sc, Biotech, Dermatology, Rheumatology, ENT, BDS, Medicine, Pathology, Immunology, Medical Transcription, Radiology, Genetics, BAMS, MDS",Drug Regulatory Affairs/Documentation,"Medical, Healthcare, Hospitals",Documentation/Medical Writing
 Hub-Incharge Bangalore," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Logistics,"Recruitment, Staffing",Logistics Manager
" QA - Associate , - Business - Operations - DM"," QA, Data management, GDB, Fixed income, Data quality, HTTP, Operations, Python",Programming & Design,"Advertising, PR, MR, Event Management",Software Developer
 Staff Nurse," Nursing, NICU, Medical , patient care, Nurse",Medical Professional,"Recruitment, Staffing",Nurse
 Back Office Executive|data Entry Operators|domestic BPO," back office processing, BPO, part time, data entry, computer operator, backend, non voice, chat process, account, marketing, inbound process",Other,"BPO, Call Centre, ITeS",Fresher
 Sr Equity Advisor - 5 nos," shares, market research, communication skills",Investment Banking,"Banking, Financial Services, Broking",Equity Manager
 Data Scientist - Sql/nosql," SQL, NoSQL, R, Python, Scala, Data Visualization, Machine Learning, Data Science, Data Modeling, Algorithm",Analytics & BI,"IT-Software, Software Services",Data Analyst
 Hiring For Day Shift Non Voice Sal. Up To 24K," international bpo, IT Helpdesk, freshers, customer care, international voice, call center, customer support, technical helpdesk, service desk, bpo fresher, uk, us, communication skills",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
,vide,,,
 React.js Developer," jQuery, MySQL, Struts, Javascript, Database, JSF",Programming & Design,"Recruitment, Staffing",Software Developer
 Requirement in Private bank for BDE," Business Development, Sales, Bde, New Business, Business Analyst, Business Development Manager, Business Development Executive, Senior Business Analyst, Sales Manager, Banker, Private Banker, Sales Officer",Accounts,"Banking, Financial Services, Broking",Accounts Executive/Accountant
 Physics- TGT," Counselor, Mentor, Trainer, Advisor, Teaching",Subject Teachers (TGT/PGT),"Education, Teaching, Training",Physics Teacher
 Technical Sales Executive -mumbai," sales engineer, Technical Sales, Sales Executive Activities",,"Construction, Engineering, Cement, Metals",Other
 Urgent Opening - Hp-ux Administrator, Unix,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",System Administrator
 Support Executive," Interpersonal skills, Direct marketing, IT hardware, Management, Support Executive",Sales Support,"IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
 J. Stores - Manager," Analytical skills, Technical, Educational qualification, Stores, Management, Forecasting, Electricals, Inventory, Cables, Organization skills",HR/ Recruitment / IR,"Oil and Gas, Energy, Power, Infrastructure",Training Manager
 Product Manager," product management, product pricing, sales, market research, user experience, marketting, asm, tsm, sales manager",Marketing,"Banking, Financial Services, Broking",Product/Brand Manager
,vide,,,
 Draughtsman," AutoCAD, Costing, Draughtsman, Civil, 3D",Architectural Services,"Recruitment, Staffing",Draughtsman
 Senior Java Tech Lead - Spring Boot/ Data Structure," Java, SOA, TDD, SaaS, J2EE, Spring Boot, API, Algorithm, Data Structure",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas," Mba Finance, Auditing, Internal Audit, SOX, Audit Compliance, Compliance",Accounts,"Accounting, Finance",Accounts Executive/Accountant
 ETL Datastage Developer," Technical Management, Agile Methodology, Unit Testing, Design Development, Business Analytics, Big Data, SQL Queries, Spark, Performance Tuning, Test Case Design",Programming & Design,"IT-Software, Software Services",Software Developer
 Technical Lead," CSS, Html5, MySQL, Javascript, Bootstrap, JSON, Node.Js, JQuery, Core PHP, Ajax",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Specialist - DV," Javascript, SQL, Python, design studio, Strategy consulting, Front end, big data analytics, QlikView, MATLAB",Programming & Design,"Accounting, Finance",Software Developer
" Office Assistant, Office Boy"," Tea, Coffee, Office Assistance, admin, office assistant, computer operator",,"Courier, Transportation, Freight , Warehousing",Other
 MES camster/apriso/hydra engineer," Oracle database, server, VB.NET, technical, tools, sql, Sql Server 2008, database, design, MS.net, Application development, Test cases, net, deployment, Automation, development, c, oracle, testing, specification, vb, quality, application, PLSQL, pl, support, WIP",Programming & Design,"IT-Software, Software Services",Software Developer
 HR PMO Professional," Change management, Excel, Customer satisfaction, Project management, Relationship building, HR policies, HR, Scheduling, Visio, Stakeholder management",Project Management,"IT-Software, Software Services",Project Manager-IT/Software
 Principal Consultant," Business solutions, Project delivery, Conceptualization, Green field projects, Gap analysis, PDF, Regulatory compliance, account mining, Delivery Lead, Oracle Retail",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Functional Outside Consultant
 Urgent Requirment For Central Processing Center- Mumbai," Accounting Entries, Debit, Communication Skills, Finance, Document Verification, Banking, Problem Solving, Open Office, Dispute Management",,"Banking, Financial Services, Broking",Other
 Cognos TM1 Developer (4 6 years)," Sql Server 2008, Cognos, MVC, SIDE, server, java, asp.net, Javascript, Problem, developer, ASP.Net MVC, sql",Programming & Design,"IT-Software, Software Services",Software Developer
 Smart Web Developer," JAVA, Java, Business Analysts, development, Architects, HTML, Lead Developers, SQL, XML, design, PHP, ios development, PL",Programming & Design,"IT-Software, Software Services",Software Developer
 Manager- Compensation and Benefits,vide,HR/ Recruitment / IR,"Media, Entertainment, Internet",Pay Roll/Compensation Manager
 Civil Architect," Architect, Engineering Design, EPC, Civil",Architectural Services,"Strategy, Management Consulting Firms",Architect
 Reconciliation Executive," access controls, Technology, Asset Management, Intellectual Property, Vendor Management, CRM",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Oracle Sales Cloud Developer, oracle sales,Programming & Design,"IT-Software, Software Services",Software Developer
 Opening For Sales and Marketing_nariman Point ," Sales, Marketing",Retail Sales,"Banking, Financial Services, Broking",Area Sales Manager
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore," microsoft dynamics ax, strategy implementation, proposal development, business development, resource planning, cost management, enterprise applications, data integrity, microsoft applications, process design, technical consultant",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",ERP Consultant
 Business Development Manager-digital / Export," digital marketing, international sales, international marketing, international business development, business development, Export Marketing",Institutional Sales,"Internet, Ecommerce",Sales/Business Development Manager
 Sr. Software Engineer," Unix, PDF, Deployment, Informatica, Oracle, Teradata, Troubleshooting, Data warehousing",Programming & Design,"IT-Software, Software Services",Software Developer
 Website Designer," jQuery, Analytical, Wordpress, Conceptualization, Web designing, Photoshop, Business Executive, CSS3, Ideas",Creative,"IT-Software, Software Services",Web Designer
 Tech caller hiring a huge number of Executives.," Outbound, Night shift, Recruitment, iPhone, Email, US shift, Troubleshooting, Technical support, Comp, International BPO",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
